#separator:pipe
#html:true
#notetype:Basic
#deck:Examen Final Enfermería::Salas de Cirugía
#columns:Front|Back|Tags
#tags column:3
Herida tipo IV (Sucia): características e ISO.|Contaminación fecal o contenido purulento, proceso inflamatorio severo y pérdida de vitalidad de los tejidos. ISO &gt;27 %.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 14</i></small>|examen_final::salas::heridas
¿Cuál es la diferencia clave entre herida limpia (I) y limpia contaminada (II)?|La tipo I NO abre víscera hueca; la tipo II abre víscera hueca de forma controlada (tracto respiratorio, GI o urinario), sin derrame importante de contenido.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 14</i></small>|examen_final::salas::heridas
Ordena los 4 tipos de herida por riesgo de infección del sitio operatorio (ISO), de menor a mayor.|Limpia (1-5 %) &lt; Limpia contaminada (3-11 %) &lt; Contaminada (10-17 %) &lt; Sucia (&gt;27 %).<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 14</i></small>|examen_final::salas::heridas
ASA I: definición y ejemplo.|Paciente normal sano: no fumador, sin consumo o consumo mínimo de alcohol.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 15</i></small>|examen_final::salas::asa
ASA II: definición y ejemplos.|Enfermedad sistémica moderada con limitación funcional moderada: fumador, alcoholismo social, obesidad.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 15</i></small>|examen_final::salas::asa
ASA III: definición y ejemplos.|Enfermedad sistémica severa con limitación funcional sustancial: enfermedad moderada-severa, obesidad mórbida.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 15</i></small>|examen_final::salas::asa
ASA IV: definición y ejemplos.|Enfermedad sistémica severa que amenaza la vida: enfermedad cardíaca de reciente diagnóstico (IAM, colocación de stents), sepsis.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 15</i></small>|examen_final::salas::asa
ASA V: definición y ejemplos.|Paciente moribundo en quien no se espera que sobreviva a la cirugía: ruptura de aneurisma abdominal o torácico, trauma masivo, sangrado intracraneal.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 15</i></small>|examen_final::salas::asa
ASA VI: definición.|Paciente declarado con muerte cerebral cuyos órganos serán removidos con fines de donación.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 15</i></small>|examen_final::salas::asa
Valoración PREQUIRÚRGICA: ¿qué incluye la lista de verificación?|Paciente con acompañante, tomar signos vitales y peso (glucometría), cambio de ropa, sin accesorios, sin esmalte, retiro de prótesis, consentimientos informados, ayuno y lavado; además de la valoración por anestesiología.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 16</i></small>|examen_final::salas::valoracion
Fase QUIRÚRGICA: profilaxis antibiótica — ¿cuándo y con qué fármacos?|1 hora antes de la cirugía: cefazolina 1-2 g, o bien clindamicina 600 mg + gentamicina 80 mg.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 16</i></small>|examen_final::salas::valoracion
Fase QUIRÚRGICA: ¿qué acciones de seguridad se realizan?|Parada de seguridad en voz alta, llenar el tablero, profilaxis antibiótica 1 h antes y anotar los insumos que se usan.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 16</i></small>|examen_final::salas::valoracion
Fase POSQUIRÚRGICA: ¿qué escala se usa y qué se vigila?|Escala de ALDRETE (define la salida tras anestesia general), tolerancia a la vía oral, patrón respiratorio (destete) y monitorización de signos.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 16</i></small>|examen_final::salas::valoracion
¿Qué 5 parámetros evalúa la escala de ALDRETE (recuperación posanestésica)?|Actividad (movimiento de extremidades), respiración, circulación (presión arterial), conciencia y saturación de oxígeno (SaO2). Cada parámetro se puntúa de 0 a 2.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 16</i></small>|examen_final::salas::valoracion
Clasificación de Mallampati: ¿qué estructuras se ven en cada clase (I a IV)?|Clase I: paladar blando, fauces, úvula y pilares. Clase II: paladar blando, fauces y úvula. Clase III: paladar blando y base de la úvula. Clase IV: solo paladar duro.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 16</i></small>|examen_final::salas::via_aerea
Escala LEMON: ¿para qué sirve?|Para valorar el riesgo de vía aérea difícil (intubación difícil) en emergencia.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 16</i></small>|examen_final::salas::via_aerea
Área NEGRA de la sala de cirugía: ¿qué es y qué contiene?|Primera zona de restricción; funciona como zona amortiguadora de protección. Incluye oficinas, admisión quirúrgica, baños y vestidores. Se accede con bata clínica y es donde el personal se coloca el atuendo quirúrgico.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 17</i></small>|examen_final::salas::areas
Área GRIS de la sala de cirugía: ¿qué es y qué contiene?|Requiere portar el uniforme completo. Incluye central de equipos, central de medicamentos, cuarto de anestesia, sala de recuperación, cuarto de rayos X y cuarto séptico.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 17</i></small>|examen_final::salas::areas
Área BLANCA de la sala de cirugía: ¿qué es?|Área de mayor restricción donde se encuentra la sala de operaciones. Es zona restringida: solo entran y salen el personal correspondiente a esa área y el paciente.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 17</i></small>|examen_final::salas::areas
Áreas quirúrgicas según restricción, de menor a mayor: ¿cuál es el orden y dónde está la sala de operaciones?|Negra (menor restricción, zona amortiguadora) → Gris (uniforme completo) → Blanca (mayor restricción, contiene la sala de operaciones).<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 17</i></small>|examen_final::salas::areas
