#separator:pipe
#html:true
#notetype:Basic
#deck:Examen Final Enfermería::Urgencias
#columns:Front|Back|Tags
#tags column:3
Taquiarritmia supraventricular estable hemodinámicamente: ¿primer fármaco y dosis inicial?|Adenosina, bolo de 6 mg en 20 cc de SSN.<br><br><small><i>Fuente: Mentoría Urgencias, p. 4</i></small>|examen_final::urgencias::arritmias_manejo
Adenosina en taquiarritmia supraventricular estable: ¿segunda dosis si no responde a la primera?|12 mg, seguida de 20 cc de SSN.<br><br><small><i>Fuente: Mentoría Urgencias, p. 4</i></small>|examen_final::urgencias::arritmias_manejo
Taquiarritmia supraventricular estable: si la adenosina no funciona, ¿qué fármaco sigue y a qué dosis?|Metoprolol tartrato en bolos de 2,5 o 5 mg, máximo 15 mg.<br><br><small><i>Fuente: Mentoría Urgencias, p. 4</i></small>|examen_final::urgencias::arritmias_manejo
Amiodarona en taquiarritmia supraventricular: dosis de carga, forma de administración e infusión.|Carga de 150-300 mg, diluir y pasar en 20 min; infusión de 1 mg/min.<br><br><small><i>Fuente: Mentoría Urgencias, p. 4</i></small>|examen_final::urgencias::arritmias_manejo
Taquiarritmia supraventricular INESTABLE hemodinámicamente: ¿manejo?|Cardioversión.<br><br><small><i>Fuente: Mentoría Urgencias, p. 4</i></small>|examen_final::urgencias::arritmias_manejo
Bradiarritmia: primer fármaco, dosis y máximo.|Atropina, bolo de 1 mg cada 3-5 min, máximo 3 mg.<br><br><small><i>Fuente: Mentoría Urgencias, p. 4</i></small>|examen_final::urgencias::arritmias_manejo
Bradiarritmia: dosis de la dopamina en infusión.|10-20 mcg/kg/min, ajustar según el estado del paciente.<br><br><small><i>Fuente: Mentoría Urgencias, p. 4</i></small>|examen_final::urgencias::arritmias_manejo
Bradiarritmia: dosis de la adrenalina en infusión.|2 mcg/min, ajustar según el estado del paciente.<br><br><small><i>Fuente: Mentoría Urgencias, p. 4</i></small>|examen_final::urgencias::arritmias_manejo
Bradiarritmias inestables que requieren marcapaso transcutáneo.|Bloqueo AV de segundo grado Mobitz II, bloqueo de tercer grado, ritmo nodal o ritmo idioventricular.<br><br><small><i>Fuente: Mentoría Urgencias, p. 4</i></small>|examen_final::urgencias::arritmias_manejo
IAM: ¿qué hallazgo en el EKG corresponde a ISQUEMIA?|Onda T simétrica (invertida y simétrica).<br><br><small><i>Fuente: Mentoría Urgencias, p. 20</i></small>|examen_final::urgencias::iam
IAM: ¿qué hallazgo en el EKG corresponde a LESIÓN?|Ascenso (elevación) del segmento ST.<br><br><small><i>Fuente: Mentoría Urgencias, p. 20</i></small>|examen_final::urgencias::iam
IAM: ¿qué hallazgo en el EKG corresponde a INFARTO/NECROSIS?|Onda Q (patológica).<br><br><small><i>Fuente: Mentoría Urgencias, p. 20</i></small>|examen_final::urgencias::iam
IAM inferior o diafragmático: ¿derivaciones afectadas y arteria comprometida?|Derivaciones DII, DIII y aVF; ramas ventriculares posteriores izquierdas.<br><br><small><i>Fuente: Mentoría Urgencias, p. 21</i></small>|examen_final::urgencias::iam
IAM anteroseptal: ¿derivaciones y arteria?|V1-V4; arteria descendente anterior izquierda.<br><br><small><i>Fuente: Mentoría Urgencias, p. 21</i></small>|examen_final::urgencias::iam
IAM anterior: ¿derivaciones y arteria?|V3-V5; descendente anterior izquierda (rama diagonal).<br><br><small><i>Fuente: Mentoría Urgencias, p. 21</i></small>|examen_final::urgencias::iam
IAM anterolateral bajo: ¿derivaciones y arteria?|V5-V6; rama diagonal, descendente anterior izquierda y rama marginal de la circunfleja izquierda.<br><br><small><i>Fuente: Mentoría Urgencias, p. 21</i></small>|examen_final::urgencias::iam
IAM anterolateral alto y bajo: ¿derivaciones y arteria?|aVL-DI; rama marginal de la circunfleja izquierda.<br><br><small><i>Fuente: Mentoría Urgencias, p. 21</i></small>|examen_final::urgencias::iam
IAM con elevación del ST: ¿conducta de reperfusión farmacológica y requisito de TA para trombolizar?|Trombolizar dentro de la ventana (6-12 h), siempre que la TA sea &lt;180/110.<br><br><small><i>Fuente: Mentoría Urgencias, p. 22</i></small>|examen_final::urgencias::iam
ACV: ¿cuál es la ventana de tiempo (según el material) para el manejo agudo?|3 horas.<br><br><i>Nota: el material indica una ventana de 3 h. Las guías actuales extienden la trombólisis con rtPA hasta 4,5 h en pacientes seleccionados, y la trombectomía mecánica hasta 24 h en casos seleccionados.</i><br><br><small><i>Fuente: Mentoría Urgencias, p. 23</i></small>|examen_final::urgencias::acv
Código ACV: ¿qué se debe realizar en los primeros 20 minutos?|Activar el código ACV, glucometría, oxigenoterapia, acceso IV, TAC y valoración neurológica.<br><br><small><i>Fuente: Mentoría Urgencias, p. 23</i></small>|examen_final::urgencias::acv
ACV isquémico: ¿manejo?|Trombolizar (dentro de la ventana de tiempo).<br><br><small><i>Fuente: Mentoría Urgencias, p. 23</i></small>|examen_final::urgencias::acv
ACV hemorrágico: ¿manejo?|UCI con vigilancia neurológica y luego terapia endovascular.<br><br><small><i>Fuente: Mentoría Urgencias, p. 23</i></small>|examen_final::urgencias::acv
ACV: ¿límite de TA para poder trombolizar y qué hacer si se supera?|TA &lt;180/110 para trombolizar; si se superan esas cifras, administrar labetalol.<br><br><small><i>Fuente: Mentoría Urgencias, p. 23</i></small>|examen_final::urgencias::acv
Trombólisis del ACV con rtPA (alteplasa): ¿dosis total?|0,9 mg/kg.<br><br><small><i>Fuente: Mentoría Urgencias, p. 23</i></small>|examen_final::urgencias::acv
rtPA en ACV: ¿cómo se distribuye la dosis total entre bolo e infusión?|10 % de la dosis total en bolo y el 90 % restante en infusión durante 1 hora.<br><br><small><i>Fuente: Mentoría Urgencias, p. 23</i></small>|examen_final::urgencias::acv
Cetoacidosis diabética (CAD): ¿con qué tipo de diabetes se asocia más?|Diabetes tipo 1.<br><br><small><i>Fuente: Mentoría Urgencias, p. 24</i></small>|examen_final::urgencias::metabolicas
Estado hiperosmolar (EH): ¿con qué tipo de diabetes se asocia más?|Diabetes tipo 2.<br><br><small><i>Fuente: Mentoría Urgencias, p. 24</i></small>|examen_final::urgencias::metabolicas
CAD: ¿rango de glicemia?|250-600 mg/dl.<br><br><small><i>Fuente: Mentoría Urgencias, p. 24</i></small>|examen_final::urgencias::metabolicas
Estado hiperosmolar: ¿rango de glicemia?|&gt;600 mg/dl.<br><br><small><i>Fuente: Mentoría Urgencias, p. 24</i></small>|examen_final::urgencias::metabolicas
CAD: ¿hallazgo de cuerpos cetónicos?|Cuerpos cetónicos +++ (marcadamente elevados).<br><br><small><i>Fuente: Mentoría Urgencias, p. 24</i></small>|examen_final::urgencias::metabolicas
Estado hiperosmolar: ¿hallazgo de cuerpos cetónicos?|Ausentes o leves.<br><br><small><i>Fuente: Mentoría Urgencias, p. 24</i></small>|examen_final::urgencias::metabolicas
CAD: ¿valores de pH y bicarbonato (HCO3)?|pH &lt;7,3 y HCO3 &lt;15 mEq/l (acidosis metabólica).<br><br><small><i>Fuente: Mentoría Urgencias, p. 24</i></small>|examen_final::urgencias::metabolicas
CAD: ¿valor del anión GAP?|Anión GAP &gt;12.<br><br><small><i>Fuente: Mentoría Urgencias, p. 24</i></small>|examen_final::urgencias::metabolicas
Estado hiperosmolar: ¿valor de osmolaridad?|Hiperosmolaridad &gt;320 mOsm/kg.<br><br><small><i>Fuente: Mentoría Urgencias, p. 24</i></small>|examen_final::urgencias::metabolicas
CAD: ¿patrón respiratorio característico?|Hiperventilación compensatoria (respiración de Kussmaul).<br><br><small><i>Fuente: Mentoría Urgencias, p. 24</i></small>|examen_final::urgencias::metabolicas
Estado hiperosmolar: ¿manifestación neurológica característica?|Alteración del estado de conciencia y déficits neurológicos.<br><br><small><i>Fuente: Mentoría Urgencias, p. 24</i></small>|examen_final::urgencias::metabolicas
CAD: ¿patogenia (mecanismo resumido)?|Déficit de insulina → hiperglicemia y aumento de la lipólisis con oxidación de ácidos grasos → cetogénesis → producción de hidrogeniones → aumento de la brecha aniónica → acidosis metabólica.<br><br><small><i>Fuente: Mentoría Urgencias, p. 24</i></small>|examen_final::urgencias::metabolicas
Estado hiperosmolar (EH): ¿patogenia (mecanismo resumido)?|Hiperglicemia severa → aumento de la osmolaridad sérica → diuresis osmótica → deshidratación severa.<br><br><i>Nota: el material original escribe "hipoglicemia severa" y "disuria osmótica"; ambos son errores. El EH se produce por HIPERglicemia severa (glicemia &gt;600 mg/dl) que genera diuresis osmótica (no disuria).</i><br><br><small><i>Fuente: Mentoría Urgencias, p. 24</i></small>|examen_final::urgencias::metabolicas
Diferencia central entre CAD y estado hiperosmolar en cetonas y equilibrio ácido-base.|CAD: cuerpos cetónicos +++ con acidosis metabólica (pH &lt;7,3). EH: cetonas ausentes o leves, sin acidosis significativa, pero con hiperosmolaridad marcada (&gt;320 mOsm/kg).<br><br><small><i>Fuente: Mentoría Urgencias, p. 24</i></small>|examen_final::urgencias::metabolicas
