#separator:pipe
#html:true
#columns:Front|Back|Tags
#tags column:3
¿Cómo pueden describirse los gestos en la valoración?|Estereotipados, exagerados o disminuidos.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 4</i></small>|examen_final::semiologia::porte_actitud
¿Qué características del habla se valoran en porte y actitud?|Tono de voz (fuerte, débil o apagado) y formas del habla (tartamudez, disartria).<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 4</i></small>|examen_final::semiologia::porte_actitud
En semiología, ¿qué describe la actitud 'perpleja'?|Mirada fija o perdida, persona confundida y desconectada del entorno.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 5</i></small>|examen_final::semiologia::porte_actitud
¿Qué caracteriza la actitud 'distante'?|Ensimismamiento y poco interés.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 5</i></small>|examen_final::semiologia::porte_actitud
¿Qué caracteriza la actitud 'inhibida'?|Persona temerosa y de bajo volumen de voz.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 5</i></small>|examen_final::semiologia::porte_actitud
¿Qué caracteriza la actitud 'altiva'?|Gestos descalificativos, imponencia y poca amabilidad.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 5</i></small>|examen_final::semiologia::porte_actitud
¿Qué caracteriza la actitud 'intrusiva'?|No maneja los límites de manera apropiada.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 5</i></small>|examen_final::semiologia::porte_actitud
¿Qué caracteriza la actitud 'quejumbrosa'?|Expresión de incomodidad, malestar y a veces dolor.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 5</i></small>|examen_final::semiologia::porte_actitud
¿Qué caracteriza la actitud 'pueril'?|El porte y la actitud son los propios de un niño.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 5</i></small>|examen_final::semiologia::porte_actitud
¿Qué caracteriza la actitud 'demandante'?|Inquietud, voz alta, exigencia e irritabilidad.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 5</i></small>|examen_final::semiologia::porte_actitud
¿Qué caracteriza la actitud 'hostil'?|Rostro y mirada de agresión, movimientos bruscos y rápidos.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 5</i></small>|examen_final::semiologia::porte_actitud
¿Qué caracteriza la actitud 'pasivo-agresiva'?|Ambivalencia en el comportamiento.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 5</i></small>|examen_final::semiologia::porte_actitud
¿Qué caracteriza la actitud 'seductora'?|Componente romántico, seductor o incluso sexual.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 5</i></small>|examen_final::semiologia::porte_actitud
¿Qué caracteriza la actitud 'histriónica'?|Teatralidad en las expresiones.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 5</i></small>|examen_final::semiologia::porte_actitud
¿Qué es una actitud alucinatoria?|Mirada dirigida a otro espacio; el paciente interacciona con la alucinación.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 5</i></small>|examen_final::semiologia::porte_actitud
¿Qué caracteriza la actitud 'psicótica'?|Deterioro general con poca expresión facial, emocional y verbal.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 5</i></small>|examen_final::semiologia::porte_actitud
¿Qué caracteriza la actitud de 'interés' en la valoración?|Movimientos firmes y suaves que reflejan interés del paciente.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 5</i></small>|examen_final::semiologia::porte_actitud
¿Qué caracteriza la actitud de 'extrañeza'?|Disminución de la expresión facial y mirada fija.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 5</i></small>|examen_final::semiologia::porte_actitud
¿Qué caracteriza la actitud de 'confianza en sí'?|Bienestar, seguridad y confianza.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 5</i></small>|examen_final::semiologia::porte_actitud
En semiología psiquiátrica, ¿cómo se define la conciencia?|La respuesta a estímulos reales o provocados.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 6</i></small>|examen_final::semiologia::conciencia
¿Qué es la hipervigilia?|Aumento del nivel de conciencia.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 6</i></small>|examen_final::semiologia::conciencia
¿Qué es la letargia o somnolencia?|Tendencia a estar dormido, pero ante el estímulo logra despertar.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 6</i></small>|examen_final::semiologia::conciencia
¿Qué es el estupor?|Ausencia de respuesta verbal o motora.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 6</i></small>|examen_final::semiologia::conciencia
¿Cómo se define el coma en semiología?|Estado en el que no se percibe ni se responde a estímulos externos. Puede ser superficial o profundo.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 6</i></small>|examen_final::semiologia::conciencia
¿Qué es la obnubilación?|Estado de desorientación y somnolencia.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 6</i></small>|examen_final::semiologia::conciencia
¿Qué caracteriza la confusión como alteración de conciencia?|Alteración de las funciones, dificultad para recibir estímulos, falsos reconocimientos; el paciente hace preguntas.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 6</i></small>|examen_final::semiologia::conciencia
¿Qué es el delirium?|Síndrome caracterizado por confusión, inquietud, desorientación, incoherencia y alucinaciones.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 6</i></small>|examen_final::semiologia::conciencia
¿Qué es la despersonalización?|Sensación de extrañeza, de no ser uno mismo. Hay confusión.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 6</i></small>|examen_final::semiologia::conciencia
¿Qué es la desrealización?|Sensación de extrañeza o irrealidad respecto del entorno.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 6</i></small>|examen_final::semiologia::conciencia
¿Qué es la dismorfofobia?|Distorsión de la conciencia corporal que no mejora aun con procedimientos quirúrgicos.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 6</i></small>|examen_final::semiologia::conciencia
¿Cómo se llama la alteración: 'tiende a estar dormido, pero ante el estímulo logra despertar'?|Letargia o somnolencia.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 6</i></small>|examen_final::semiologia::conciencia
¿Cómo se llama la alteración: 'ausencia de respuesta verbal o motora'?|Estupor.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 6</i></small>|examen_final::semiologia::conciencia
¿Qué es la orientación en semiología?|El conocimiento que tiene la persona de sí misma y del medio ambiente en un determinado momento.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 7</i></small>|examen_final::semiologia::orientacion
¿Cuáles son las tres esferas de la orientación?|Tiempo, lugar y persona.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 7</i></small>|examen_final::semiologia::orientacion
¿Qué es la desorientación autopsíquica?|El paciente no sabe quién es, pierde su identidad y no logra recordar su nombre.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 7</i></small>|examen_final::semiologia::orientacion
¿Qué es la desorientación alopsíquica?|Incapacidad de decir dónde se encuentra; en tiempo, incapacidad de identificar fechas, días u horas.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 7</i></small>|examen_final::semiologia::orientacion
¿Qué es la desorientación global?|Desorientación en las tres esferas (tiempo, lugar y persona).<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 7</i></small>|examen_final::semiologia::orientacion
¿Qué preguntas evalúan la orientación en 'persona'?|Cuál es su nombre, quién es usted, cuántos años tiene, qué labor desarrolla, a qué se dedica, cuál es su profesión, cuál es su estado civil, quién lo acompaña.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 8</i></small>|examen_final::semiologia::orientacion
¿Qué preguntas evalúan la orientación en 'lugar'?|Dónde se encuentra, está en un hospital o en su casa, qué hospital es este, dónde vive, en qué ciudad, cuál es su dirección, qué ruta tomó para llegar.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 8</i></small>|examen_final::semiologia::orientacion
¿Qué preguntas evalúan la orientación en 'tiempo'?|En qué fecha estamos, qué mes, qué año, qué día de la semana, qué hora es, cuánto tiempo ha estado aquí.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 8</i></small>|examen_final::semiologia::orientacion
¿Qué permite la función mental de la atención?|Seleccionar un estímulo particular en un conjunto (focalización). Es de manera voluntaria.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 10</i></small>|examen_final::semiologia::atencion
¿Cuáles son las tres características de la atención?|Orientación o dirección, focalización y concentración.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 10</i></small>|examen_final::semiologia::atencion
¿Cómo se valora la atención de forma pasiva?|Sin que el sujeto haga un esfuerzo consciente: preguntando por elementos vistos en el lugar (atención involuntaria).<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 9</i></small>|examen_final::semiologia::atencion
¿Cómo se valora la atención de forma activa?|Pidiendo al sujeto usar sus procesos cognitivos: decir los días de la semana al revés, contar de 5 en 5 hacia atrás.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 9</i></small>|examen_final::semiologia::atencion
¿Qué es la hiperprosexia?|Aumento de la atención sobre un estímulo que impide responder a otros.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 10</i></small>|examen_final::semiologia::atencion
¿Qué es la hipoprosexia?|Disminución de la capacidad de atención.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 10</i></small>|examen_final::semiologia::atencion
¿Qué es la aprosexia?|Incapacidad para fijar la atención.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 10</i></small>|examen_final::semiologia::atencion
¿Qué es la distractibilidad?|El foco de la atención cambia con mayor frecuencia.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 10</i></small>|examen_final::semiologia::atencion
¿Qué es la euprosexia?|Capacidad atencional normal.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 10</i></small>|examen_final::semiologia::atencion
¿Cómo se llama la alteración: 'incapacidad para fijar la atención'?|Aprosexia.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 10</i></small>|examen_final::semiologia::atencion
¿Cuál es la duración del ciclo circadiano?|24 horas.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 11</i></small>|examen_final::semiologia::sueño
¿Cuáles son las fases del sueño según la nomenclatura actual (AASM)?|N1 (transición/sueño ligero), N2 (sueño consolidado), N3 (sueño profundo, ondas lentas) y REM (movimientos oculares rápidos). <i>Nota: el material usa la nomenclatura antigua Rechtschaffen & Kales (etapas 1-4); la AASM unificó las antiguas etapas 3 y 4 en N3 desde 2007.</i><br><br><small><i>Fuente: Semiología Psiquiátrica, p. 11</i></small>|examen_final::semiologia::sueño
¿Qué caracteriza la fase N1 (antes 'etapa 1') del sueño?|Somnolencia o adormecimiento; hay tono muscular y los movimientos oculares son inexistentes o muy lentos.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 11</i></small>|examen_final::semiologia::sueño
¿Qué caracteriza la fase N2 (antes 'etapa 2') del sueño?|Sueño ligero consolidado; persiste el tono muscular y no hay movimientos oculares. Aparecen los husos de sueño.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 11</i></small>|examen_final::semiologia::sueño
¿Qué caracteriza la fase N3 (antes 'etapas 3 y 4') del sueño?|Sueño profundo de ondas lentas; no hay movimientos oculares y el tono muscular se mantiene o está muy disminuido.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 11</i></small>|examen_final::semiologia::sueño
¿Qué caracteriza la fase REM del sueño?|Movimientos oculares rápidos y atonía muscular (desaparición del tono), excepto en el diafragma.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 11</i></small>|examen_final::semiologia::sueño
¿Cómo se clasifican las alteraciones del sueño?|En disomnias (alteran cantidad, calidad o temporalidad) y parasomnias (alteraciones en el comportamiento del sueño).<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 14</i></small>|examen_final::semiologia::sueño
¿Qué es la hipersomnia?|Episodios de sueño durante el día. A veces hay confusión al despertar.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 14</i></small>|examen_final::semiologia::sueño
¿Qué es la somnolencia?|Estado en el que se disminuye la vigilia y el estado de alerta, con deseos de dormir.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 14</i></small>|examen_final::semiologia::sueño
¿Qué es el insomnio y cómo se subdivide?|Dificultad para dormir sin interrupciones o no dormir. Se subdivide en: de conciliación, de reconciliación y despertar temprano.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 14</i></small>|examen_final::semiologia::sueño
¿Qué es la narcolepsia?|Trastorno crónico del sueño caracterizado por ataques irresistibles de sueño durante el día. Puede asociarse a cataplejía, parálisis del sueño y alucinaciones hipnagógicas. <i>Nota: el material indica una duración de unos 15 minutos por episodio, pero clínicamente los episodios varían de segundos a 30+ minutos.</i><br><br><small><i>Fuente: Semiología Psiquiátrica, p. 14</i></small>|examen_final::semiologia::sueño
¿Qué es la apnea del sueño?|Episodios de apnea durante el sueño.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 14</i></small>|examen_final::semiologia::sueño
¿Qué son las pesadillas?|Sueños que se recuerdan muy bien y generan temor, miedo o angustia.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 14</i></small>|examen_final::semiologia::sueño
¿Qué son los terrores nocturnos?|Episodios con actividad motora, gritos y diaforesis, sin que la persona los recuerde después.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 14</i></small>|examen_final::semiologia::sueño
¿Qué es el sonambulismo?|Actividad motora durante el sueño, como hablar, sentarse o levantarse.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 14</i></small>|examen_final::semiologia::sueño
¿Qué es el bruxismo?|Rechinar nocturno de dientes.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 14</i></small>|examen_final::semiologia::sueño
¿Qué es la somniloquia?|Durante el sueño, la persona habla de forma involuntaria, enunciando palabras o frases con sentido.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 14</i></small>|examen_final::semiologia::sueño
¿Qué es la percepción?|El proceso mediante el cual se interpretan los datos que aportan las sensaciones.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 16</i></small>|examen_final::semiologia::sensopercepcion
¿Qué son las sensaciones exteroceptivas?|Las que provienen de los órganos de los sentidos.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 16</i></small>|examen_final::semiologia::sensopercepcion
¿Qué son las sensaciones propioceptivas?|Las que permiten conocer la situación del cuerpo en el espacio; provienen de músculos, articulaciones y tendones.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 16</i></small>|examen_final::semiologia::sensopercepcion
¿Qué son las sensaciones interoceptivas?|Las que informan estímulos viscerales como sed, hambre y dolor.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 16</i></small>|examen_final::semiologia::sensopercepcion
¿Qué es la hiperpercepción?|Aumento de la percepción de los estímulos por factores orgánicos o emocionales.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 17</i></small>|examen_final::semiologia::sensopercepcion
¿Qué es la hipopercepción?|Disminución de la percepción de los estímulos por factores orgánicos o emocionales.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 17</i></small>|examen_final::semiologia::sensopercepcion
¿Qué es la agnosia?|Déficit en el reconocimiento de estímulos a pesar de tener la percepción sensorial intacta, secundario a causas orgánicas. Ejemplo: la prosopagnosia (no reconocer caras conocidas a pesar de verlas con claridad). <i>Nota: el material la define como 'ausencia de percepción', pero la definición médica correcta es 'déficit de reconocimiento'.</i><br><br><small><i>Fuente: Semiología Psiquiátrica, p. 17</i></small>|examen_final::semiologia::sensopercepcion
¿Qué es la distorsión visual?|Cambios perceptivos en la coloración.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 17</i></small>|examen_final::semiologia::sensopercepcion
¿Qué es un error de percepción?|Percepción irreal desencadenada por un estímulo externo.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 17</i></small>|examen_final::semiologia::sensopercepcion
¿Cuál es la diferencia entre ilusión y alucinación?|La ilusión es una percepción irreal a partir de un objeto concreto; la alucinación es una percepción irreal sin causa alguna.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 17</i></small>|examen_final::semiologia::sensopercepcion
¿Qué es la alucinosis y cómo se diferencia de la alucinación clásica?|El individuo que la experimenta suele ser consciente de su carácter irreal, por lo que la cuestiona de inmediato.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 17</i></small>|examen_final::semiologia::sensopercepcion
¿Cuál es la diferencia entre alucinaciones auditivas elementales y complejas?|Las elementales son ruidos o chillidos sin idea de su origen; las complejas son voces o campanas con una idea de su origen.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 18</i></small>|examen_final::semiologia::alucinaciones
¿Cuál es la diferencia entre alucinaciones visuales elementales y complejas?|Las elementales son luces o destellos; las complejas son personas, animales u objetos.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 18</i></small>|examen_final::semiologia::alucinaciones
¿Qué son las alucinaciones olfativas y gustativas?|Percepción de olores y sabores diferentes que no existen.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 18</i></small>|examen_final::semiologia::alucinaciones
¿Cuál es la diferencia entre alucinación táctil activa y pasiva?|Activa: la persona cree haber tocado algo que no existe. Pasiva: cree que la ha tocado una persona.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 18</i></small>|examen_final::semiologia::alucinaciones
¿Qué son las alucinaciones cenestésicas?|Alucinaciones que se manifiestan a nivel corporal; por ejemplo, sentir animales en el estómago.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 18</i></small>|examen_final::semiologia::alucinaciones
¿Qué son las alucinaciones cinestésicas?|Experimentar una posición o movimiento irreal de una parte del cuerpo.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 18</i></small>|examen_final::semiologia::alucinaciones
¿Qué se valora en la 'forma' del pensamiento?|La lógica del pensamiento, teniendo en cuenta la identidad, espacialidad y no contradicción.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 19</i></small>|examen_final::semiologia::pensamiento
¿Qué se valora en el 'curso' del pensamiento?|El ritmo o velocidad del pensamiento y la continuidad de la asociación.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 19</i></small>|examen_final::semiologia::pensamiento
¿Qué se valora en el 'contenido' del pensamiento?|Las ideas.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 19</i></small>|examen_final::semiologia::pensamiento
¿Qué define al pensamiento?|Es el flujo de ideas, símbolos o asociaciones dirigidos hacia la conclusión o solución de un problema. Se expresa a través del lenguaje y del comportamiento.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 20</i></small>|examen_final::semiologia::pensamiento
¿Qué es el pensamiento ilógico?|Pensamiento que se aleja de lo real, como el pensamiento mágico.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 20</i></small>|examen_final::semiologia::pensamiento
¿Qué es la fuga de ideas?|Aceleración del flujo con asociaciones rápidas y sucesivas.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 20</i></small>|examen_final::semiologia::pensamiento
¿Qué es la taquipsiquia?|Aumento del flujo y rapidez de asociación, sin incoherencia.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 20</i></small>|examen_final::semiologia::pensamiento
¿Qué es la bradipsiquia?|Disminución del flujo y rapidez de asociación.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 20</i></small>|examen_final::semiologia::pensamiento
¿Qué es la incoherencia del pensamiento?|Frases desordenadas, sin una hilación lógica.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 20</i></small>|examen_final::semiologia::pensamiento
¿Qué es la disgregación?|Pérdida del ordenamiento lógico entre las ideas; el paciente conecta frases gramaticalmente correctas pero sin hilación conceptual.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 20</i></small>|examen_final::semiologia::pensamiento
¿Qué es el bloqueo del pensamiento?|Suspensión súbita de la idea, seguida de una pausa.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 20</i></small>|examen_final::semiologia::pensamiento
¿Qué es la circunstancialidad?|Exceso de rodeos para llegar a la idea central.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 20</i></small>|examen_final::semiologia::pensamiento
¿Qué es la tangencialidad?|Las respuestas no llegan a la idea, aunque están cerca.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 20</i></small>|examen_final::semiologia::pensamiento
¿Qué son las ideas fijas?|Ideas extrañas que están en contra de la voluntad del paciente.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 20</i></small>|examen_final::semiologia::pensamiento
¿Qué es una idea obsesiva?|Idea repetitiva y persistente, irracional, que el paciente reconoce como propia.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 20</i></small>|examen_final::semiologia::pensamiento
¿Qué es una idea delirante y qué tipos hay?|Es una creencia falsa. Tipos: paranoide, referencial, de grandeza, celotípica.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 20</i></small>|examen_final::semiologia::pensamiento
¿Qué es una idea hipocondríaca?|Idea falsa de padecer una enfermedad.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 20</i></small>|examen_final::semiologia::pensamiento
¿Qué es una idea referencial?|Idea de que lo externo genera un significado particular dirigido al paciente.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 20</i></small>|examen_final::semiologia::pensamiento
Identifica el trastorno: 'aceleración del flujo del pensamiento con asociaciones rápidas y sucesivas'.|Fuga de ideas.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 20</i></small>|examen_final::semiologia::pensamiento
Identifica el trastorno: 'suspensión súbita de la idea, seguida de una pausa'.|Bloqueo del pensamiento.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 20</i></small>|examen_final::semiologia::pensamiento
¿Qué dimensiones se valoran en el lenguaje?|Fluidez, comprensión, repetición y denominación.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 21</i></small>|examen_final::semiologia::lenguaje
¿Qué evalúa la fluidez del lenguaje?|La cantidad de palabras que se articulan en un tiempo determinado.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 21</i></small>|examen_final::semiologia::lenguaje
¿Cómo se valora la comprensión del lenguaje?|Pidiendo al paciente señalar objetos mencionados y describir sus funciones.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 21</i></small>|examen_final::semiologia::lenguaje
¿Cómo se valora la repetición del lenguaje?|Evaluando la capacidad de repetir frases en orden.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 21</i></small>|examen_final::semiologia::lenguaje
¿Cómo se valora la denominación en el lenguaje?|Verificando la capacidad de nombrar partes de un objeto.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 21</i></small>|examen_final::semiologia::lenguaje
¿Qué es la taquilalia o logorrea?|Aumento excesivo del flujo de palabras.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 22</i></small>|examen_final::semiologia::lenguaje
¿Qué es la bradilalia?|Lentitud excesiva del flujo de palabras.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 22</i></small>|examen_final::semiologia::lenguaje
¿Qué es la logoclonía?|Repetición de la última sílaba.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 22</i></small>|examen_final::semiologia::lenguaje
¿Qué es la ecolalia?|Repetición involuntaria de palabras o frases.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 22</i></small>|examen_final::semiologia::lenguaje
¿Qué es la coprolalia?|Uso incontrolable de palabras obscenas.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 22</i></small>|examen_final::semiologia::lenguaje
¿Qué es la dislalia?|Dificultad para pronunciar palabras.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 22</i></small>|examen_final::semiologia::lenguaje
¿Qué es la disartria?|Dificultad en la articulación de sílabas.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 22</i></small>|examen_final::semiologia::lenguaje
¿Qué es la disfemia o tartamudez?|Alteración del habla por repetición de sílabas.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 22</i></small>|examen_final::semiologia::lenguaje
¿Qué es la disfonía?|Alteración del tono de la voz.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 22</i></small>|examen_final::semiologia::lenguaje
¿Qué es la afasia?|Trastorno del lenguaje por lesión cerebral. Tipos principales: <b>expresiva (Broca)</b> — no produce lenguaje fluido; <b>receptiva (Wernicke)</b> — no comprende; <b>global</b> — ambas; <b>de conducción</b> — no logra repetir. <i>Nota: el material la define solo como 'imposibilidad de entender el mensaje', lo cual describe únicamente la afasia receptiva.</i><br><br><small><i>Fuente: Semiología Psiquiátrica, p. 22</i></small>|examen_final::semiologia::lenguaje
¿Qué es el neologismo en semiología?|Inventar nuevas palabras.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 22</i></small>|examen_final::semiologia::lenguaje
¿Qué es la verborrea?|Repetición de palabras sin tener en cuenta su significado.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 22</i></small>|examen_final::semiologia::lenguaje
¿Qué es el mutismo?|Inhibición del lenguaje, voluntaria o involuntaria.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 22</i></small>|examen_final::semiologia::lenguaje
¿Qué es la muscitación?|Movimiento de labios en voz baja.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 22</i></small>|examen_final::semiologia::lenguaje
¿Qué es el soliloquio?|Discurso dirigido a algo imaginario o a sí mismo.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 22</i></small>|examen_final::semiologia::lenguaje
